,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,Bellarmine,29,10,19,.345,-15.69,-4.47,,5,11,,6,7,,4,12,,1948,2175,,1165,757,1748,.433,193,634,.304,468,638,.734,347,1155,354,218,88,497,538
22,Belmont,35,26,9,.743,11.11,2.85,,17,3,,13,2,,11,5,,2470,2181,,1400,817,2074,.394,194,665,.292,353,492,.717,387,1243,426,225,80,503,607
23,Bethune-Cookman,31,15,16,.484,-10.60,-10.07,,6,12,,9,5,,4,10,,2058,1886,,1255,670,1786,.375,135,528,.256,411,593,.693,391,1196,386,252,104,637,597
24,Binghamton,31,14,17,.452,-8.57,-9.40,,8,8,,8,7,,6,8,,1920,1869,,1240,696,1722,.404,131,432,.303,346,541,.640,369,1114,287,196,78,461,439
25,Boise State,35,21,14,.600,1.53,-1.96,,10,8,,13,3,,5,9,,2241,2063,,1405,768,2081,.369,204,695,.294,323,453,.713,341,1225,404,259,137,487,596
26,Boston College,33,14,19,.424,12.09,10.79,,5,13,,11,6,,2,10,,2342,2299,,1326,855,1900,.450,170,560,.304,419,564,.743,402,1234,454,252,107,683,593
27,Boston University,32,20,12,.625,-8.98,-8.98,,10,8,,15,2,,5,10,,2004,1971,,1300,731,1927,.379,200,630,.317,309,423,.730,405,1101,427,245,86,431,562
28,Bowling Green State,31,16,15,.516,-3.35,-0.74,,10,8,,8,5,,6,9,,2088,2169,,1240,794,1841,.431,217,606,.358,364,492,.740,341,1072,442,196,96,407,533
29,Bradley,32,6,26,.188,-17.27,-1.50,,2,18,,4,11,,1,13,,1925,2408,,1285,906,2011,.451,199,609,.327,397,543,.731,389,1266,543,284,97,400,473
30,Brigham Young,33,16,17,.485,10.77,11.10,,6,12,,10,5,,3,11,,2158,2169,,1325,770,1968,.391,220,647,.340,409,560,.730,327,1110,402,254,111,404,560
31,Brown,27,16,11,.593,-1.41,-0.68,,7,7,,7,5,,9,6,,1704,1668,,1080,634,1610,.394,141,458,.308,259,370,.700,354,1068,335,204,103,447,423
32,Bryant,30,15,15,.500,-13.21,-9.07,,8,8,,10,5,,5,9,,1817,1830,,1205,687,1724,.398,165,555,.297,291,404,.720,313,1061,380,236,85,422,508
33,Bucknell,31,13,18,.419,-12.18,-6.89,,9,9,,8,7,,5,11,,1734,1898,,1245,724,1827,.396,168,573,.293,282,404,.698,346,1118,418,274,106,402,491
34,Buffalo,33,19,14,.576,-3.98,-5.14,,10,8,,12,6,,5,7,,2175,2098,,1325,760,1965,.387,213,786,.271,365,527,.693,408,1274,474,227,101,492,533
35,Butler,32,15,17,.469,4.72,5.95,,6,12,,9,9,,5,7,,2001,1985,,1280,774,1819,.426,184,565,.326,253,358,.707,307,1044,444,229,111,414,432
36,Cal Poly,31,17,14,.548,-2.38,-2.19,,13,6,,8,4,,9,9,,1878,1884,,1250,648,1633,.397,178,550,.324,410,582,.704,311,996,339,265,128,548,540
37,Cal State Bakersfield,29,8,21,.276,-14.10,-5.25,,5,15,,5,8,,3,12,,1703,1943,,1165,700,1671,.419,201,637,.316,342,483,.708,359,1211,391,192,74,459,424
38,Cal State Fullerton,31,10,21,.323,-9.35,-2.93,,6,14,,4,9,,5,10,,1828,2027,,1240,748,1778,.421,215,630,.341,316,433,.730,340,1116,412,300,90,501,449
39,Cal State Northridge,30,3,27,.100,-18.34,-3.52,,1,19,,2,14,,1,13,,1655,2089,,1210,751,1888,.398,236,769,.307,351,509,.690,415,1318,483,314,93,493,462
40,California,34,19,15,.559,15.73,14.88,,7,11,,13,8,,5,6,,2250,2221,,1370,839,1981,.424,183,533,.343,360,512,.703,384,1196,445,219,92,465,531
41,California Baptist NCAA,32,28,4,.875,3.33,-5.67,,18,2,,14,0,,12,4,,2569,2281,,1305,804,2117,.380,268,920,.291,405,584,.693,378,1346,510,220,106,535,567
42,Campbell,31,17,14,.548,-5.88,-7.09,,9,9,,9,4,,5,9,,1884,1707,,1245,643,1733,.371,131,494,.265,290,418,.694,290,972,297,231,81,409,478
43,Canisius,31,17,14,.548,-11.80,-10.37,,11,9,,8,5,,8,8,,1880,1915,,1245,706,1739,.406,172,613,.281,331,454,.729,299,1023,384,242,111,416,507
44,Central Arkansas,33,21,12,.636,-1.83,-5.80,,11,5,,14,1,,7,10,,2168,1948,,1330,694,1891,.367,167,587,.284,393,585,.672,359,1170,326,224,83,490,504
45,Central Connecticut State,30,9,21,.300,-21.53,-13.27,,7,9,,6,6,,3,15,,1736,1984,,1205,720,1749,.412,164,534,.307,380,518,.734,405,1227,346,218,91,476,438
46,Central Michigan,28,6,22,.214,-16.59,-5.18,,4,13,,3,9,,3,13,,1722,2007,,1130,729,1801,.405,195,589,.331,354,485,.730,338,1025,392,294,75,368,476
47,Charleston Southern,30,11,19,.367,-17.49,-11.28,,8,8,,8,6,,3,12,,1831,1998,,1205,736,1838,.400,182,570,.319,344,485,.709,362,1096,376,277,72,478,480
48,Charlotte,31,16,15,.516,3.65,2.13,,9,9,,10,4,,5,8,,2000,1953,,1270,704,1822,.386,184,631,.292,361,511,.706,359,1100,418,259,109,561,616
49,Chattanooga NCAA,33,28,5,.848,2.80,-5.36,,13,1,,12,2,,11,1,,2120,1798,,1320,644,1712,.376,124,463,.268,386,552,.699,290,1037,271,163,118,432,482
50,Chicago State,27,1,26,.037,-31.63,-4.05,,,,,1,10,,0,12,,1592,2241,,1095,818,1830,.447,178,565,.315,427,631,.677,429,1180,481,308,64,416,443
51,Cincinnati,32,14,18,.438,9.89,13.48,,5,13,,8,8,,4,7,,1997,2112,,1280,748,1844,.406,206,713,.289,410,563,.728,333,1108,439,218,121,470,618
52,Clemson,31,12,19,.387,10.54,11.18,,5,13,,9,7,,2,9,,2158,2178,,1254,832,1933,.430,220,686,.321,294,416,.707,365,1093,499,280,90,464,554
53,Cleveland State,35,29,6,.829,8.62,-4.33,,18,2,,17,0,,9,4,,2602,2149,,1400,786,2037,.386,235,774,.304,342,473,.723,362,1157,492,255,125,595,686
54,Coastal Carolina,33,12,21,.364,-6.27,-0.58,,5,13,,5,7,,5,12,,2197,2355,,1325,831,2067,.402,241,738,.327,452,672,.673,479,1286,433,304,109,543,697
55,Colgate,34,20,14,.588,-5.54,-9.57,,10,8,,12,6,,8,7,,2102,1894,,1365,743,1811,.410,96,395,.243,312,465,.671,279,1023,376,237,68,476,564
56,College of Charleston,32,22,10,.688,-0.63,-8.70,,13,5,,13,2,,9,7,,2411,2010,,1285,732,1880,.389,195,676,.288,351,529,.664,382,1287,425,169,123,648,556
57,Colorado NCAA,34,24,10,.706,28.61,17.67,,11,7,,11,3,,8,4,,2557,2185,,1370,779,1904,.409,215,629,.342,412,541,.762,292,1108,391,220,150,576,504
58,Colorado State,31,20,11,.645,5.40,-1.03,,10,8,,13,2,,5,9,,2127,1898,,1245,702,1894,.371,210,692,.303,284,406,.700,339,1255,389,158,41,410,424
